Ar-Ge Numune Depo - 10.08.2026 combobox veri hazırlığı

Toplam alan değişikliği: 102
Değişen malzeme: 46

5936D7AE | 5 Pin anten konnektörü | footprint: '8x8x14.8' -> ''
5936D7AE | 5 Pin anten konnektörü | description: '' -> 'Ölçü: 8 x 8 x 14.8 mm'
04E04B7D | 100uH | footprint: '12x12x7.5 mm SMD' -> 'SMD'
04E04B7D | 100uH | description: 'Etiketsiz' -> 'Etiketsiz; Ölçü: 12 x 12 x 7.5 mm'
17DF9BBB | 100uH | footprint: '8x8x3.85 mm SMD' -> 'SMD'
17DF9BBB | 100uH | description: 'Etiketsiz' -> 'Etiketsiz; Ölçü: 8 x 8 x 3.85 mm'
1C475F24 | 100uH | footprint: '6x6 mm SMD' -> 'SMD'
1C475F24 | 100uH | description: '300mA' -> '300mA; Ölçü: 6 x 6 mm'
1CF6AC8E | 22uH | footprint: '7.7x6.6 mm SMD' -> 'SMD'
1CF6AC8E | 22uH | description: 'SMPI06050-220M' -> 'SMPI06050-220M; Ölçü: 7.7 x 6.6 mm'
1F15F7A2 | 22uH | footprint: '12x12 mm SMD' -> 'SMD'
1F15F7A2 | 22uH | description: 'SRI1204-220M' -> 'SRI1204-220M; Ölçü: 12 x 12 mm'
25D7D3DC | 150uH | footprint: '5x5 mm SMD' -> 'SMD'
25D7D3DC | 150uH | description: '0.6A' -> '0.6A; Ölçü: 5 x 5 mm'
2B7EB1A4 | 220uH | footprint: '12x12x7.6 mm SMD' -> 'SMD'
2B7EB1A4 | 220uH | description: 'Etiketsiz' -> 'Etiketsiz; Ölçü: 12 x 12 x 7.6 mm'
333A89D7 | 47uH | footprint: '6x6 mm SMD' -> 'SMD'
333A89D7 | 47uH | description: 'NR6028-470M 1A' -> 'NR6028-470M 1A; Ölçü: 6 x 6 mm'
3811CDDE | 100uH | footprint: '6x5.5 mm SMD' -> 'SMD'
3811CDDE | 100uH | description: '0.7A' -> '0.7A; Ölçü: 6 x 5.5 mm'
408D71AB | 220uH | footprint: '10x10 mm SMD' -> 'SMD'
408D71AB | 220uH | description: '0.72A' -> '0.72A; Ölçü: 10 x 10 mm'
4158C7A0 | 100uH | footprint: '8.3x8.3x3 mm SMD' -> 'SMD'
4158C7A0 | 100uH | description: 'SDC8D28-101N-LF' -> 'SDC8D28-101N-LF; Ölçü: 8.3 x 8.3 x 3 mm'
51F9DD14 | 100K POT Carbon | footprint: '5 mm SMD' -> 'SMD'
51F9DD14 | 100K POT Carbon | description: '' -> 'Ölçü: 5 mm'
53639276 | 220uH | footprint: '6x5.6 mm SMD' -> 'SMD'
53639276 | 220uH | description: 'Etiketsiz' -> 'Etiketsiz; Ölçü: 6 x 5.6 mm'
5D41A2E4 | 22uH | footprint: '5.5x5.1x2.5 mm SMD' -> 'SMD'
5D41A2E4 | 22uH | description: 'Etiketsiz' -> 'Etiketsiz; Ölçü: 5.5 x 5.1 x 2.5 mm'
68B8452B | 10uH | footprint: '6.8x6.8 mm SMD' -> 'SMD'
68B8452B | 10uH | description: 'Etiketsiz' -> 'Etiketsiz; Ölçü: 6.8 x 6.8 mm'
7D9856A1 | 47uH | footprint: '5.8x5.2 mm SMD' -> 'SMD'
7D9856A1 | 47uH | description: 'FPI0502-470M' -> 'FPI0502-470M; Ölçü: 5.8 x 5.2 mm'
9338183D | 220uH | footprint: '6x6 mm SMD' -> 'SMD'
9338183D | 220uH | description: '0.66A' -> '0.66A; Ölçü: 6 x 6 mm'
9CA60A42 | 220uH | footprint: '10x10 mm SMD' -> 'SMD'
9CA60A42 | 220uH | description: '0.5A' -> '0.5A; Ölçü: 10 x 10 mm'
A0C0706E | 15uH | footprint: '10x10x4.3 mm SMD' -> 'SMD'
A0C0706E | 15uH | description: 'Etiketsiz' -> 'Etiketsiz; Ölçü: 10 x 10 x 4.3 mm'
AA94EC0E | Nuvoton M032SE3AE | footprint: 'LQFP-64, 7x7 mm' -> 'LQFP-64'
AA94EC0E | Nuvoton M032SE3AE | description: '' -> 'Ölçü: 7 x 7 mm'
B0F5EA5B | 220uH | footprint: '10x10 mm SMD' -> 'SMD'
B0F5EA5B | 220uH | description: '0.75A' -> '0.75A; Ölçü: 10 x 10 mm'
BECA4EF1 | 220uH | footprint: '10x10x4.5 mm SMD' -> 'SMD'
BECA4EF1 | 220uH | description: 'SRI1004-221M' -> 'SRI1004-221M; Ölçü: 10 x 10 x 4.5 mm'
C57ED85E | 10uH | footprint: '8.8x10 mm SMD' -> 'SMD'
C57ED85E | 10uH | description: 'Etiketsiz' -> 'Etiketsiz; Ölçü: 8.8 x 10 mm'
D44F831B | 33uH | footprint: '10.3x10.5x5 mm SMD' -> 'SMD'
D44F831B | 33uH | description: 'SDI105R-330M' -> 'SDI105R-330M; Ölçü: 10.3 x 10.5 x 5 mm'
D95C31A6 | 6.8uH | footprint: '6x6x2 mm SMD' -> 'SMD'
D95C31A6 | 6.8uH | description: 'NR6020T6R8N' -> 'NR6020T6R8N; Ölçü: 6 x 6 x 2 mm'
E5FBA7E6 | 100uH | footprint: '12x12 mm SMD' -> 'SMD'
E5FBA7E6 | 100uH | description: '2.6A' -> '2.6A; Ölçü: 12 x 12 mm'
EE427F74 | 33uH | footprint: '7x7.8 mm SMD' -> 'SMD'
EE427F74 | 33uH | description: 'FPI0705-330M' -> 'FPI0705-330M; Ölçü: 7 x 7.8 mm'
EEF3DF22 | 6.8uH | footprint: '7.3x7.3x4.5 mm SMD' -> 'SMD'
EEF3DF22 | 6.8uH | description: 'SRI0704-6R8M' -> 'SRI0704-6R8M; Ölçü: 7.3 x 7.3 x 4.5 mm'
NUM0184 | 1M POT Carbon | footprint: '15 mm Horizontal THT' -> 'Horizontal THT'
NUM0184 | 1M POT Carbon | description: '20%' -> '20%; Ölçü: 15 mm'
NUM0185 | 470K POT Carbon | footprint: '10 mm Horizontal THT' -> 'Horizontal THT'
NUM0185 | 470K POT Carbon | description: '' -> 'Ölçü: 10 mm'
NUM0192 | HK23F-DC24V-SHG SPDT Power Relay | footprint: '12.5x7.5 mm THT Relay' -> 'THT PCB Relay'
NUM0216 | 12 MHz Crystal | footprint: '3.2x2.5 mm SMD' -> 'SMD'
NUM0216 | 12 MHz Crystal | description: '16pF' -> '16pF; Ölçü: 3.2 x 2.5 mm'
NUM0221 | 20 MHz Crystal | footprint: '3.2x2.5 mm SMD' -> 'SMD'
NUM0221 | 20 MHz Crystal | description: '12pF' -> '12pF; Ölçü: 3.2 x 2.5 mm'
NUM0257 | Rotary Encoder | footprint: '20 mm THT' -> 'THT'
NUM0257 | Rotary Encoder | description: '' -> 'Ölçü: 20 mm'
NUM0259 | 250-502 2P PCB Terminal Block | footprint: '2-pin THT, 5.00 mm pitch' -> '2-pin THT'
NUM0266 | ST-LINK | category: 'Programlayıcı' -> 'Development Tool'
NUM0266 | ST-LINK | footprint: '***' -> ''
NUM0266 | ST-LINK | description: '' -> 'STM8/STM32 programlama ve hata ayıklama aracı'
NUM0267 | USB to TTL | name: 'USB to TTL' -> 'USB-TTL Converter'
NUM0267 | USB to TTL | category: 'Programlayıcı' -> 'Interface Converter'
NUM0267 | USB to TTL | footprint: '***' -> ''
NUM0267 | USB to TTL | description: '' -> 'USB-TTL haberleşme dönüştürücüsü'
NUM0268 | TTL to RS485 | name: 'TTL to RS485' -> 'TTL-RS485 Converter'
NUM0268 | TTL to RS485 | category: 'Programlayıcı' -> 'Interface Converter'
NUM0268 | TTL to RS485 | footprint: '***' -> ''
NUM0268 | TTL to RS485 | description: '' -> 'TTL-RS485 haberleşme dönüştürücüsü'
NUM0269 | STM32F103 Geliştirme kartı | name: 'STM32F103 Geliştirme kartı' -> 'STM32F103 Development Board'
NUM0269 | STM32F103 Geliştirme kartı | category: 'Programlayıcı' -> 'Development Board'
NUM0269 | STM32F103 Geliştirme kartı | footprint: '***' -> ''
NUM0269 | STM32F103 Geliştirme kartı | description: '' -> 'STM32F103 tabanlı geliştirme kartı'
NUM0270 | USB to RS485 | name: 'USB to RS485' -> 'USB-RS485 Converter'
NUM0270 | USB to RS485 | category: 'Programlayıcı' -> 'Interface Converter'
NUM0270 | USB to RS485 | footprint: '***' -> ''
NUM0270 | USB to RS485 | description: '' -> 'USB-RS485 haberleşme dönüştürücüsü'
NUM0271 | 470uF 16V AL | name: '470uF 16V AL' -> '470uF 16V Aluminum'
NUM0271 | 470uF 16V AL | category: 'Capacitor' -> 'Aluminum Electrolytic Capacitor'
NUM0271 | 470uF 16V AL | footprint: '8x10 SMD' -> 'SMD'
NUM0271 | 470uF 16V AL | description: '' -> 'Ölçü: 8 x 10 mm'
NUM0272 | 10uH | footprint: '5mmx5mm SMD' -> 'SMD'
NUM0272 | 10uH | description: 'SCI4D18-100M' -> 'SCI4D18-100M; Ölçü: 5 x 5 mm'
NUM0273 | 47uH | footprint: '10.3mmx10.5mm SMD' -> 'SMD'
NUM0273 | 47uH | description: 'SDI105R-470M' -> 'SDI105R-470M; Ölçü: 10.3 x 10.5 mm'
NUM0274 | MAX485ED | category: 'Transceiver' -> 'RS-485 Transceiver'
NUM0274 | MAX485ED | footprint: 'SOP-8' -> 'SOIC-8'
NUM0274 | MAX485ED | description: '' -> 'RS-485/RS-422 transceiver'
NUM0275 | USB-UART Converter | category: 'USB-UART Converter' -> 'USB-UART Bridge'
NUM0275 | USB-UART Converter | description: '' -> 'Tam parça kodu fiziksel ürün üzerinden doğrulanmalı'
